Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,107.492828,110.898659,106.955070,110.898659,67.233871,10823694
2000-01-04,108.986618,109.464630,105.999046,107.134323,64.951736,8606279
2000-01-05,107.970840,114.483749,107.194077,110.898659,67.233871,13318927
2000-01-06,112.810707,113.706978,108.508606,108.986618,66.074707,8338607
2000-01-07,112.093689,112.750954,105.760040,108.508606,65.784912,12402108
2000-01-10,112.093689,114.125237,110.301147,112.810707,68.393135,8933363
2000-01-11,112.691208,115.798279,111.496178,113.766731,68.972717,8235472
2000-01-12,114.364243,116.634796,113.049713,114.244743,69.262535,7116775
2000-01-13,114.663002,115.678780,110.659653,113.049713,68.538040,8880226
2000-01-14,115.619026,117.889580,112.332695,114.364243,69.334961,11460604
2000-01-18,114.423996,114.483749,109.942642,110.659653,67.088982,7995519
2000-01-19,110.480400,116.634796,107.731834,114.244743,69.262535,9031687
2000-01-20,117.590820,119.263863,113.766731,113.766731,68.972717,18601436
2000-01-21,116.515297,117.590820,114.663002,116.156792,70.421715,8230660
2000-01-24,116.515297,117.471321,111.436424,116.156792,70.421715,6798163
2000-01-25,111.615677,114.244743,110.898659,113.886230,69.045166,7255997
2000-01-26,113.826485,114.663002,110.898659,111.615677,67.668610,5120275
2000-01-27,112.810707,113.228966,106.716064,108.508606,65.784912,8707532
2000-01-28,107.791588,109.165871,105.222275,106.656311,64.661926,6976192
2000-01-31,106.477058,107.851341,104.804016,107.313576,65.060402,6488024
2000-02-01,107.433075,108.448853,104.326004,105.162521,63.756298,7640716
2000-02-02,107.074570,110.719406,105.521034,108.508606,65.784912,8062254
2000-02-03,109.942642,112.332695,109.046364,111.974190,67.885948,6499635
2000-02-04,112.989960,113.228966,109.763382,110.540154,67.016579,5653944
2000-02-07,110.898659,111.735184,108.150093,109.106117,66.147133,6045357
2000-02-08,111.794930,113.766731,111.077919,113.587479,68.936508,5715658
2000-02-09,113.766731,114.483749,111.854683,112.213196,68.102463,5621936
2000-02-10,112.511948,113.886230,111.735184,113.886230,69.117859,4651144
2000-02-11,113.826485,114.184990,109.524376,110.301147,66.942055,6013872
2000-02-14,110.898659,111.257172,109.464630,110.958412,67.340958,4753024
2000-02-15,110.779160,112.272942,108.867111,111.974190,67.957397,5415665
2000-02-16,111.376671,112.153442,110.181641,110.659653,67.159630,4149377
2000-02-17,111.376671,113.647224,110.659653,111.615677,67.739815,5478425
2000-02-18,110.181641,110.838913,106.596558,107.552582,65.273918,8026376
2000-02-22,107.074570,108.448853,103.967499,106.118546,64.403610,8006921
2000-02-23,105.640533,105.640533,103.728493,103.967499,63.098141,7777324
2000-02-24,104.027245,106.118546,103.429733,105.640533,64.113541,9531152
2000-02-25,105.043022,105.043022,100.322655,103.250481,62.662975,10786561
2000-02-28,100.023903,101.816444,99.366638,99.904396,60.632217,8869975
2000-02-29,100.920174,100.920174,96.498566,98.231361,59.616821,10967205
2000-03-01,97.514343,100.860420,95.662048,95.841301,58.166325,11304959
2000-03-02,96.080307,100.800667,95.124283,98.589867,59.834438,11707773
2000-03-03,102.533463,105.162521,101.398186,103.250481,62.662975,10630289
2000-03-06,105.102776,106.118546,96.558319,98.530113,59.798164,11241780
2000-03-07,101.338432,102.294456,97.215584,98.470360,59.761890,10496715
2000-03-08,98.470360,102.174950,98.231361,101.577438,61.647610,8761714
2000-03-09,101.816444,103.250481,99.545891,103.250481,62.662975,6625469
2000-03-10,102.891968,104.206497,100.382408,100.621414,61.067387,7419487
2000-03-13,99.426384,104.206497,97.992355,102.951721,62.481636,8233066
2000-03-14,103.011475,105.162521,102.652962,103.847992,63.025585,8340490
2000-03-15,102.772469,103.489487,101.457932,102.294456,62.082771,5926531
2000-03-16,104.206497,104.983269,103.130974,104.206497,63.243198,6927135
2000-03-17,103.489487,106.775810,102.951721,105.162521,63.823364,9264736
2000-03-20,105.162521,108.389099,105.102776,107.791588,65.418961,6865421
2000-03-21,107.851341,109.643883,107.014816,108.508606,65.854149,7083094
2000-03-22,109.464630,110.301147,108.867111,109.225624,66.289322,6420139
2000-03-23,110.779160,110.779160,106.716064,110.181641,66.869514,6791050
2000-03-24,110.301147,116.873802,110.002388,115.320267,69.988174,12683378
2000-03-27,119.502869,122.609940,119.144356,121.295410,73.614487,12408593
2000-03-28,120.219887,121.414917,116.694550,117.112808,71.076057,8524482
2000-03-29,116.933556,117.053062,113.288719,113.766731,69.045341,7648666
2000-03-30,113.647224,117.590820,113.467972,117.351814,71.221123,9579268
2000-03-31,117.232315,118.307838,111.914436,113.169212,68.682655,8383899
2000-04-03,114.722755,116.993309,114.184990,116.634796,70.785950,8070518
2000-04-04,116.156792,121.355164,110.002388,115.858032,70.314590,17433891
2000-04-05,115.200768,120.219887,114.483749,119.502869,72.526604,9093401
2000-04-06,118.068832,122.370934,117.232315,117.351814,71.221123,9296220
2000-04-07,118.068832,120.160133,116.156792,117.710327,71.438705,5627794
2000-04-10,119.263863,119.861374,116.216537,116.754303,70.858505,5760636
2000-04-11,116.276291,116.276291,112.631454,114.125237,69.262886,8094680
2000-04-12,114.364243,114.364243,106.775810,108.747612,65.999191,9293919
2000-04-13,107.552582,109.285370,105.162521,105.760040,64.186050,8615274
2000-04-14,104.983269,107.791588,98.350861,100.382408,60.922318,12323972
2000-04-17,99.306885,107.313576,98.769119,106.955070,64.911293,10428097
2000-04-18,107.313576,110.062141,105.222275,106.596558,64.693718,8582953
2000-04-19,104.923515,104.923515,98.291107,100.382408,60.922318,15349527
2000-04-20,100.382408,100.621414,97.574089,99.426384,60.342125,11122432
2000-04-24,97.514343,102.473709,96.797325,101.816444,61.792667,8915163
2000-04-25,101.816444,108.030594,101.756691,107.552582,65.273918,10016914
2000-04-26,107.552582,108.926865,104.206497,105.640533,64.113541,6467209
2000-04-27,104.684509,108.150093,103.907745,105.760040,64.186050,6608105
2000-04-28,107.074570,107.731834,105.282028,106.596558,64.693718,5113476
2000-05-01,107.552582,108.209846,105.580788,107.074570,64.983841,4389121
2000-05-02,106.118546,108.628105,105.819794,106.477058,64.621201,4272910
2000-05-03,105.640533,106.238052,101.876198,103.369980,62.735500,5798815
2000-05-04,104.326004,104.385757,102.473709,102.891968,62.445381,3798340
2000-05-05,101.935944,104.804016,101.816444,103.130974,62.590466,4911075
2000-05-08,103.310226,105.521034,102.891968,104.923515,63.755161,5048937
2000-05-09,105.640533,105.760040,103.489487,104.206497,63.319519,5088685
2000-05-10,100.860420,101.039673,97.574089,98.470360,59.833996,10473284
2000-05-11,99.426384,102.772469,98.649620,99.844643,60.669109,8479085
2000-05-12,99.187378,101.099426,98.709366,99.844643,60.669109,5857286
2000-05-15,99.426384,100.262909,97.514343,99.605644,60.523857,6179559
2000-05-16,100.501915,104.445503,100.382408,104.206497,63.319519,7600027
2000-05-17,102.772469,104.086998,101.457932,103.130974,62.665977,5778627
2000-05-18,101.457932,102.593208,100.083649,101.398186,61.613033,4787751
